"species_code","species_name","year","total_landings","max_temp","min_temp","price"
"HOM","Atlantic horse mackerel",1997,18720,-0.29,-0.35,NA
"HOM","Atlantic horse mackerel",1998,21364,-0.23,-0.3,NA
"HOM","Atlantic horse mackerel",1999,14524,-0.19,-0.26,NA
"HOM","Atlantic horse mackerel",2000,14362,-0.17,-0.24,NA
"HOM","Atlantic horse mackerel",2001,13796,-0.13,-0.19,NA
"HOM","Atlantic horse mackerel",2002,15009,-0.09,-0.15,NA
"HOM","Atlantic horse mackerel",2003,14726,-0.01,-0.07,NA
"HOM","Atlantic horse mackerel",2004,16680,0.07,0.01,NA
"HOM","Atlantic horse mackerel",2005,15970,0.1,0.04,NA
"HOM","Atlantic horse mackerel",2006,51967.1,0.15,0.09,NA
"HOM","Atlantic horse mackerel",2007,34743,0.17,0.12,NA
"HOM","Atlantic horse mackerel",2008,33078,0.17,0.13,NA
"HOM","Atlantic horse mackerel",2009,35520,0.16,0.13,NA
"HOM","Atlantic horse mackerel",2010,37260,0.18,0.15,NA
"HOM","Atlantic horse mackerel",2011,33782.44,0.16,0.14,1.67
"HOM","Atlantic horse mackerel",2012,63404.89,0.17,0.16,1.81
"HOM","Atlantic horse mackerel",2013,57536.42,0.16,0.13,1.7
"HOM","Atlantic horse mackerel",2014,63725.14,0.15,0.11,2.02
"HOM","Atlantic horse mackerel",2015,68242.35,0.11,0.06,1.81
"HOM","Atlantic horse mackerel",2016,4791.44,0.09,0.04,2.1
"HOM","Atlantic horse mackerel",2017,64006.48,0.09,0.03,2.23
"HOM","Atlantic horse mackerel",2018,47234.145,0.07,0.01,2.2
"HOM","Atlantic horse mackerel",2019,50317.5928,0.09,0.02,2.08
"HOM","Atlantic horse mackerel",2020,41807.85,0.08,0.01,2.3
"HOM","Atlantic horse mackerel",2021,48098.84,0.11,0.04,2.28
"HOM","Atlantic horse mackerel",2022,52813.7181,0.13,0.07,2.65
"HOM","Atlantic horse mackerel",2023,32814.66,0.19,0.14,2.47
