# Index:,BICC_211,
# Station Description:,Madeira-Azores to Iberian Peninsula- ISAS,
# Region Code:,BICC,
# Latitude:,42.6009 N,
# Longitude:,20.5299 W,
# Detailed Location (WKT):,"POLYGON(-26.8368 45.2295,-13.1718 46.9976,-12.7465 42.5476,-12.3377 39.1242,-24.0472 37.5532,-25.4909 39.4002,-26.9393 42.2960,-26.8368 45.2295)",
# Measurement Depth/Range:,5-100 m,
# Sampling Frequency:,monthly,
# Data Source:,In Situ Analysis System (ISAS) - Laboratoire d'Oceanographie Physique et Spatiale LOPS,
# Contact Name (email):,Nicolas Kolodziejczyk (nicolas.kolodziejczyk@univ-brest.fr); Ricardo F. Sanchez Leal (rleal@ieo.csic.es),
# Notes:,Surface waters,
# Reference:,,
# DOI:,,
# Website:,https://www.seanoe.org/data/00412/52367/: DOI 10.17882/52367,
Decimal Year,Temperature °C,Salinity
2002.04,14.645,35.938
2002.13,14.073,35.905
2002.21,13.849,35.894
2002.29,13.949,35.903
2002.38,14.515,35.918
2002.46,15.23,35.918
2002.55,16.032,35.922
2002.63,16.838,35.931
2002.72,17.205,35.95
2002.8,16.834,35.944
2002.89,15.966,35.927
2002.97,14.939,35.909
2003.04,14.314,35.903
2003.13,13.846,35.888
2003.21,13.741,35.877
2003.29,13.956,35.888
2003.38,14.432,35.89
2003.46,15.236,35.901
2003.55,16.092,35.917
2003.63,16.782,35.924
2003.72,17.207,35.938
2003.8,17.028,35.952
2003.89,16.22,35.956
2003.97,15.276,35.946
2004.04,14.639,35.925
2004.13,14.231,35.905
2004.21,14.101,35.905
2004.29,14.244,35.932
2004.38,14.683,35.946
2004.46,15.496,35.953
2004.55,16.354,35.955
2004.63,16.817,35.944
2004.72,17.188,35.959
2004.8,17.05,35.99
2004.89,16.234,35.978
2004.97,15.319,35.96
2005.04,14.558,35.946
2005.13,14.086,35.929
2005.21,13.951,35.912
2005.29,14.146,35.915
2005.38,14.604,35.915
2005.46,15.477,35.924
2005.55,16.439,35.941
2005.63,17.276,35.957
2005.72,17.674,35.966
2005.8,17.367,35.987
2005.89,16.472,35.998
2005.97,15.413,36
2006.04,14.595,35.973
2006.13,13.97,35.928
2006.21,13.812,35.91
2006.29,14.036,35.919
2006.38,14.49,35.913
2006.46,15.259,35.914
2006.55,16.184,35.928
2006.63,17.061,35.949
2006.72,17.512,35.951
2006.8,17.107,35.943
2006.89,16.317,35.947
2006.97,15.238,35.943
2007.04,14.574,35.943
2007.13,14.081,35.925
2007.21,13.933,35.913
2007.29,14.206,35.936
2007.38,14.798,35.948
2007.46,15.448,35.951
2007.55,16.273,35.943
2007.63,16.948,35.933
2007.72,17.392,35.967
2007.8,17.269,35.963
2007.89,16.894,35.983
2007.97,16.113,35.994
2008.04,15.183,35.982
2008.13,14.62,35.965
2008.21,14.365,35.949
2008.29,14.346,35.949
2008.38,14.762,35.948
2008.46,15.612,35.962
2008.55,16.453,35.97
2008.63,17.153,35.976
2008.72,17.402,35.989
2008.8,17.224,36.006
2008.89,16.497,36.006
2008.97,15.441,36.012
2009.04,14.596,35.974
2009.13,13.932,35.929
2009.21,13.79,35.916
2009.29,13.966,35.925
2009.38,14.366,35.919
2009.46,15.128,35.925
2009.55,15.91,35.917
2009.63,16.667,35.942
2009.72,17.232,35.966
2009.8,17.229,35.97
2009.89,16.41,35.951
2009.97,15.153,35.935
2010.04,14.151,35.908
2010.13,13.672,35.887
2010.21,13.504,35.868
2010.29,13.721,35.875
2010.38,14.296,35.885
2010.46,15.149,35.902
2010.55,16.109,35.916
2010.63,16.975,35.928
2010.72,17.346,35.937
2010.8,17.07,35.937
2010.89,16.38,35.954
2010.97,15.21,35.965
2011.04,14.398,35.944
2011.13,13.863,35.917
2011.21,13.683,35.9
2011.29,13.93,35.9
2011.38,14.331,35.907
2011.46,15.068,35.928
2011.55,16.048,35.948
2011.63,16.906,35.962
2011.72,17.359,35.967
2011.8,17.215,35.969
2011.89,16.277,35.962
2011.97,15.294,35.961
2012.04,14.639,35.951
2012.13,14.153,35.925
2012.21,14.071,35.908
2012.29,14.214,35.918
2012.38,14.467,35.908
2012.46,15.207,35.898
2012.55,16.15,35.908
2012.63,16.762,35.9
2012.72,17.134,35.886
2012.8,16.898,35.895
2012.89,16.138,35.915
2012.97,15.144,35.906
2013.04,14.444,35.88
2013.13,13.98,35.848
2013.21,13.756,35.83
2013.29,13.854,35.834
2013.38,14.248,35.844
2013.46,14.941,35.855
2013.55,15.821,35.863
2013.63,16.764,35.885
2013.72,17.278,35.894
2013.8,17.011,35.879
2013.89,16.368,35.892
2013.97,15.377,35.901
2014.04,14.204,35.866
2014.13,13.429,35.821
2014.21,13.299,35.809
2014.29,13.585,35.826
2014.38,14.1,35.82
2014.46,14.862,35.832
2014.55,15.782,35.844
2014.63,16.488,35.851
2014.72,16.876,35.852
2014.8,16.474,35.846
2014.89,15.637,35.834
2014.97,14.673,35.843
2015.04,14.085,35.846
2015.13,13.598,35.828
2015.21,13.58,35.825
2015.29,13.808,35.832
2015.38,14.36,35.817
2015.46,15.135,35.808
2015.55,15.953,35.803
2015.63,16.643,35.807
2015.72,16.868,35.811
2015.8,16.618,35.827
2015.89,16.024,35.835
2015.97,15.244,35.831
2016.04,14.303,35.799
2016.13,13.746,35.776
2016.21,13.5,35.768
2016.29,13.565,35.77
2016.38,14.074,35.782
2016.46,15.019,35.814
2016.55,16.033,35.834
2016.63,16.956,35.853
2016.72,17.482,35.869
2016.8,17.133,35.87
2016.89,16.251,35.857
2016.97,15.381,35.857
2017.04,14.665,35.856
2017.13,14.069,35.835
2017.21,13.924,35.829
2017.29,14.173,35.844
2017.38,14.761,35.853
2017.46,15.571,35.852
2017.55,16.507,35.867
2017.63,17.183,35.878
2017.72,17.637,35.883
2017.8,17.606,35.896
2017.89,17.037,35.897
2017.97,16.083,35.884
2018.04,15.164,35.879
2018.13,14.551,35.88
2018.21,14.13,35.862
2018.29,13.9,35.837
2018.38,14.309,35.836
2018.46,15.197,35.864
2018.55,15.991,35.885
2018.63,16.728,35.903
2018.72,17.26,35.904
2018.8,17.127,35.921
2018.89,16.292,35.93
2018.97,15.371,35.912
2019.04,14.748,35.901
2019.13,14.176,35.868
2019.21,13.951,35.841
2019.29,14.018,35.85
2019.38,14.518,35.853
2019.46,15.394,35.881
2019.55,16.317,35.891
2019.63,17.056,35.902
2019.72,17.548,35.92
2019.8,17.371,35.923
2019.89,16.582,35.922
2019.97,15.431,35.908
2020.04,14.622,35.887
2020.13,14.319,35.887
2020.21,14.167,35.881
2020.29,14.355,35.902
2020.38,14.846,35.899
2020.46,15.492,35.894
2020.55,16.255,35.886
2020.63,17.156,35.9
2020.72,17.609,35.915
2020.8,17.335,35.938
2020.89,16.308,35.916
2020.97,15.192,35.921
2021.04,14.36,35.918
2021.13,13.95,35.876
2021.21,13.88,35.867
2021.29,14.222,35.884
2021.38,14.703,35.872
2021.46,15.449,35.875
2021.55,16.308,35.886
2021.63,17.067,35.885
2021.72,17.493,35.901
2021.8,17.379,35.889
2021.89,16.962,35.896
2021.97,16.126,35.912
2022.04,15.363,35.898
2022.13,14.794,35.897
2022.21,14.375,35.891
2022.29,14.508,35.894
2022.38,15.019,35.899
2022.46,15.717,35.897
2022.55,16.457,35.92
2022.63,17.315,35.933
2022.72,17.741,35.954
2022.8,17.437,35.938
2022.89,16.342,35.911
2022.97,15.337,35.881
2023.04,14.63,35.873
2023.13,14.218,35.878
2023.21,14.186,35.876
2023.29,14.438,35.853
2023.38,15.085,35.856
2023.46,15.957,35.866
2023.55,16.866,35.914
2023.63,17.742,35.93
2023.72,17.934,35.923
2023.8,17.569,35.899
2023.89,16.66,35.893
2023.97,15.905,35.892
2024.04,15.226,35.916
2024.13,14.779,35.88
2024.21,14.408,35.871
2024.29,14.327,35.862
2024.38,14.905,35.894
2024.46,15.676,35.905
2024.55,16.548,35.919
2024.63,17.453,35.914
2024.72,17.803,35.948
2024.8,17.682,35.952
2024.89,17.113,35.939
2024.97,16.351,35.925
