year,max,min
1859,-0.44,-0.48
1860,-0.47,-0.49
1861,-0.51,-0.52
1862,-0.55,-0.6
1863,-0.36,-0.61
1864,-0.37,-0.63
1865,-0.38,-0.62
1866,-0.38,-0.6
1867,-0.4,-0.59
1868,-0.4,-0.54
1869,-0.39,-0.53
1870,-0.36,-0.51
1871,-0.35,-0.51
1872,-0.3,-0.5
1873,-0.28,-0.48
1874,-0.29,-0.48
1875,-0.26,-0.46
1876,-0.25,-0.46
1877,-0.22,-0.45
1878,-0.19,-0.44
1879,-0.2,-0.45
1880,-0.2,-0.46
1881,-0.23,-0.46
1882,-0.23,-0.47
1883,-0.26,-0.5
1884,-0.3,-0.55
1885,-0.36,-0.6
1886,-0.36,-0.61
1887,-0.38,-0.62
1888,-0.42,-0.66
1889,-0.43,-0.66
1890,-0.47,-0.67
1891,-0.48,-0.67
1892,-0.5,-0.67
1893,-0.47,-0.61
1894,-0.47,-0.61
1895,-0.45,-0.61
1896,-0.45,-0.6
1897,-0.47,-0.62
1898,-0.46,-0.6
1899,-0.44,-0.57
1900,-0.43,-0.57
1901,-0.44,-0.57
1902,-0.45,-0.58
1903,-0.52,-0.64
1904,-0.56,-0.67
1905,-0.59,-0.69
1906,-0.62,-0.71
1907,-0.65,-0.73
1908,-0.68,-0.76
1909,-0.72,-0.81
1910,-0.74,-0.83
1911,-0.74,-0.82
1912,-0.75,-0.83
1913,-0.73,-0.82
1914,-0.7,-0.78
1915,-0.65,-0.75
1916,-0.61,-0.74
1917,-0.58,-0.72
1918,-0.58,-0.73
1919,-0.56,-0.73
1920,-0.56,-0.74
1921,-0.55,-0.72
1922,-0.52,-0.71
1923,-0.5,-0.68
1924,-0.48,-0.67
1925,-0.5,-0.68
1926,-0.49,-0.67
1927,-0.47,-0.64
1928,-0.46,-0.62
1929,-0.45,-0.6
1930,-0.42,-0.58
1931,-0.4,-0.56
1932,-0.34,-0.5
1933,-0.27,-0.43
1934,-0.24,-0.4
1935,-0.22,-0.37
1936,-0.19,-0.36
1937,-0.18,-0.34
1938,-0.14,-0.29
1939,-0.09,-0.26
1940,-0.06,-0.23
1941,-0.03,-0.21
1942,-0.04,-0.21
1943,-0.08,-0.23
1944,-0.04,-0.18
1945,-0.02,-0.16
1946,-0.06,-0.18
1947,-0.1,-0.22
1948,-0.13,-0.24
1949,-0.16,-0.25
1950,-0.2,-0.27
1951,-0.23,-0.29
1952,-0.23,-0.29
1953,-0.21,-0.27
1954,-0.25,-0.31
1955,-0.25,-0.3
1956,-0.25,-0.29
1957,-0.22,-0.26
1958,-0.21,-0.26
1959,-0.22,-0.27
1960,-0.2,-0.26
1961,-0.19,-0.24
1962,-0.22,-0.27
1963,-0.27,-0.34
1964,-0.29,-0.35
1965,-0.33,-0.39
1966,-0.33,-0.4
1967,-0.33,-0.41
1968,-0.35,-0.43
1969,-0.38,-0.46
1970,-0.42,-0.51
1971,-0.45,-0.55
1972,-0.48,-0.58
1973,-0.49,-0.58
1974,-0.53,-0.62
1975,-0.56,-0.64
1976,-0.59,-0.67
1977,-0.61,-0.68
1978,-0.62,-0.69
1979,-0.62,-0.68
1980,-0.6,-0.65
1981,-0.59,-0.63
1982,-0.58,-0.61
1983,-0.57,-0.6
1984,-0.53,-0.57
1985,-0.52,-0.56
1986,-0.53,-0.57
1987,-0.5,-0.55
1988,-0.48,-0.53
1989,-0.46,-0.51
1990,-0.45,-0.5
1991,-0.44,-0.49
1992,-0.43,-0.48
1993,-0.42,-0.48
1994,-0.42,-0.49
1995,-0.37,-0.43
1996,-0.32,-0.39
1997,-0.29,-0.35
1998,-0.23,-0.3
1999,-0.19,-0.26
2000,-0.17,-0.24
2001,-0.13,-0.19
2002,-0.09,-0.15
2003,-0.01,-0.07
2004,0.07,0.01
2005,0.1,0.04
2006,0.15,0.09
2007,0.17,0.12
2008,0.17,0.13
2009,0.16,0.13
2010,0.18,0.15
2011,0.16,0.14
2012,0.17,0.16
2013,0.16,0.13
2014,0.15,0.11
2015,0.11,0.06
2016,0.09,0.04
2017,0.09,0.03
2018,0.07,0.01
2019,0.09,0.02
2020,0.08,0.01
2021,0.11,0.04
2022,0.13,0.07
2023,0.19,0.14
2024,0.25,0.19
