"species_code","species_name","year","total_landings","max_temp","min_temp","price"
"JAA","Blue jack mackerel",1997,2752,-0.29,-0.35,NA
"JAA","Blue jack mackerel",1998,2028,-0.23,-0.3,NA
"JAA","Blue jack mackerel",1999,1010,-0.19,-0.26,NA
"JAA","Blue jack mackerel",2000,1110,-0.17,-0.24,NA
"JAA","Blue jack mackerel",2001,1509,-0.13,-0.19,NA
"JAA","Blue jack mackerel",2002,5675,-0.09,-0.15,NA
"JAA","Blue jack mackerel",2003,4013,-0.01,-0.07,NA
"JAA","Blue jack mackerel",2004,4076,0.07,0.01,NA
"JAA","Blue jack mackerel",2005,2357,0.1,0.04,NA
"JAA","Blue jack mackerel",2006,12574.3,0.15,0.09,NA
"JAA","Blue jack mackerel",2007,16538.04,0.17,0.12,NA
"JAA","Blue jack mackerel",2008,19255.04,0.17,0.13,NA
"JAA","Blue jack mackerel",2009,19561,0.16,0.13,NA
"JAA","Blue jack mackerel",2010,14121,0.18,0.15,NA
"JAA","Blue jack mackerel",2011,16046.19,0.16,0.14,1.67
"JAA","Blue jack mackerel",2012,0,0.17,0.16,1.81
"JAA","Blue jack mackerel",2013,10365.78,0.16,0.13,1.7
"JAA","Blue jack mackerel",2014,10615.73,0.15,0.11,2.02
"JAA","Blue jack mackerel",2015,10645.92,0.11,0.06,1.81
"JAA","Blue jack mackerel",2016,84651.34,0.09,0.04,2.1
"JAA","Blue jack mackerel",2017,13890.31,0.09,0.03,2.23
"JAA","Blue jack mackerel",2018,12542.097,0.07,0.01,2.2
"JAA","Blue jack mackerel",2019,11597.711,0.09,0.02,2.08
"JAA","Blue jack mackerel",2020,10942.99,0.08,0.01,2.3
"JAA","Blue jack mackerel",2021,18595.31,0.11,0.04,2.28
"JAA","Blue jack mackerel",2022,9027.8732,0.13,0.07,2.65
"JAA","Blue jack mackerel",2023,5585.08,0.19,0.14,2.47
