"species_code","species_name","year","total_landings","max_temp","min_temp","price"
"OCC","Common octopus",1997,63,-0.29,-0.35,NA
"OCC","Common octopus",1998,38,-0.23,-0.3,NA
"OCC","Common octopus",1999,12,-0.19,-0.26,NA
"OCC","Common octopus",2000,624,-0.17,-0.24,NA
"OCC","Common octopus",2001,823,-0.13,-0.19,NA
"OCC","Common octopus",2002,660,-0.09,-0.15,NA
"OCC","Common octopus",2003,1310,-0.01,-0.07,NA
"OCC","Common octopus",2004,692,0.07,0.01,NA
"OCC","Common octopus",2005,3495,0.1,0.04,NA
"OCC","Common octopus",2006,11857.83,0.15,0.09,NA
"OCC","Common octopus",2007,16761.03,0.17,0.12,NA
"OCC","Common octopus",2008,27494.03,0.17,0.13,NA
"OCC","Common octopus",2009,20166,0.16,0.13,NA
"OCC","Common octopus",2010,31362,0.18,0.15,NA
"OCC","Common octopus",2011,21603.99,0.16,0.14,1.67
"OCC","Common octopus",2012,27825.83,0.17,0.16,1.81
"OCC","Common octopus",2013,34563.99,0.16,0.13,1.7
"OCC","Common octopus",2014,32847.28,0.15,0.11,2.02
"OCC","Common octopus",2015,22633.68,0.11,0.06,1.81
"OCC","Common octopus",2016,29028.81,0.09,0.04,2.1
"OCC","Common octopus",2017,16050.45,0.09,0.03,2.23
"OCC","Common octopus",2018,18240.45,0.07,0.01,2.2
"OCC","Common octopus",2019,15779.06,0.09,0.02,2.08
"OCC","Common octopus",2020,14271.52,0.08,0.01,2.3
"OCC","Common octopus",2021,19760.45,0.11,0.04,2.28
"OCC","Common octopus",2022,21516.56,0.13,0.07,2.65
"OCC","Common octopus",2023,5886.4,0.19,0.14,2.47
