"species_code","species_name","year","total_landings"
"AGK","Brown moray",1997,0
"AGK","Brown moray",1998,0
"AGK","Brown moray",1999,0
"AGK","Brown moray",2000,0
"AGK","Brown moray",2001,0
"AGK","Brown moray",2002,45
"AGK","Brown moray",2003,70
"AGK","Brown moray",2004,71
"AGK","Brown moray",2005,36
"AGK","Brown moray",2006,14.7
"AGK","Brown moray",2007,9
"AGK","Brown moray",2008,12
"AGK","Brown moray",2009,8
"AGK","Brown moray",2010,9
"AGK","Brown moray",2011,10.32
"AGK","Brown moray",2012,13.2
"AGK","Brown moray",2013,11.16
"AGK","Brown moray",2014,11.36
"AGK","Brown moray",2015,16
"AGK","Brown moray",2016,21.4
"AGK","Brown moray",2017,5.08
"AGK","Brown moray",2018,10.92
"AGK","Brown moray",2019,13.16
"AGK","Brown moray",2020,7.68
"AGK","Brown moray",2021,8.92
"AGK","Brown moray",2022,9
"AGK","Brown moray",2023,4.4
"AHN","Swallowtail seaperch",1997,0
"AHN","Swallowtail seaperch",1998,1
"AHN","Swallowtail seaperch",1999,3
"AHN","Swallowtail seaperch",2000,4
"AHN","Swallowtail seaperch",2001,2
"AHN","Swallowtail seaperch",2002,1
"AHN","Swallowtail seaperch",2003,2
"AHN","Swallowtail seaperch",2004,3
"AHN","Swallowtail seaperch",2005,2
"AHN","Swallowtail seaperch",2006,2.13
"AHN","Swallowtail seaperch",2007,3
"AHN","Swallowtail seaperch",2008,3
"AHN","Swallowtail seaperch",2009,3.03
"AHN","Swallowtail seaperch",2010,3
"AHN","Swallowtail seaperch",2011,3.22
"AHN","Swallowtail seaperch",2012,1.74
"AHN","Swallowtail seaperch",2013,2.34
"AHN","Swallowtail seaperch",2014,2.98
"AHN","Swallowtail seaperch",2015,2.82
"AHN","Swallowtail seaperch",2016,10.34
"AHN","Swallowtail seaperch",2017,4.15
"AHN","Swallowtail seaperch",2018,16.71
"AHN","Swallowtail seaperch",2019,7.14
"AHN","Swallowtail seaperch",2020,7.94
"AHN","Swallowtail seaperch",2021,4.65
"AHN","Swallowtail seaperch",2022,9.76
"AHN","Swallowtail seaperch",2023,6.44
"ALB","Albacore",1997,171
"ALB","Albacore",1998,48
"ALB","Albacore",1999,370
"ALB","Albacore",2000,256
"ALB","Albacore",2001,53
"ALB","Albacore",2002,29
"ALB","Albacore",2003,10
"ALB","Albacore",2004,137
"ALB","Albacore",2005,125
"ALB","Albacore",2006,140.9
"ALB","Albacore",2007,136.13
"ALB","Albacore",2008,1950.03
"ALB","Albacore",2009,211.03
"ALB","Albacore",2010,209
"ALB","Albacore",2011,3885.25
"ALB","Albacore",2012,4925.01
"ALB","Albacore",2013,1672.66
"ALB","Albacore",2014,1474.04
"ALB","Albacore",2015,270.28
"ALB","Albacore",2016,66.05
"ALB","Albacore",2017,1448.68
"ALB","Albacore",2018,1900.63
"ALB","Albacore",2019,346.89
"ALB","Albacore",2020,2872.42
"ALB","Albacore",2021,404.77
"ALB","Albacore",2022,981.86
"ALB","Albacore",2023,723.23
"ALC","Baird's slickhead",1997,0
"ALC","Baird's slickhead",1998,0
"ALC","Baird's slickhead",1999,0
"ALC","Baird's slickhead",2000,0
"ALC","Baird's slickhead",2001,0
"ALC","Baird's slickhead",2002,0
"ALC","Baird's slickhead",2003,0
"ALC","Baird's slickhead",2004,0
"ALC","Baird's slickhead",2005,0
"ALC","Baird's slickhead",2006,0
"ALC","Baird's slickhead",2007,0.03
"ALC","Baird's slickhead",2008,0
"ALC","Baird's slickhead",2009,0
"ALC","Baird's slickhead",2010,0
"ALC","Baird's slickhead",2011,0
"ALC","Baird's slickhead",2012,54.66
"ALC","Baird's slickhead",2013,82.26
"ALC","Baird's slickhead",2014,45.18
"ALC","Baird's slickhead",2015,51.63
"ALC","Baird's slickhead",2016,0
"ALC","Baird's slickhead",2017,0
"ALC","Baird's slickhead",2018,0
"ALC","Baird's slickhead",2019,0.21
"ALC","Baird's slickhead",2020,0.42
"ALC","Baird's slickhead",2021,0.15
"ALC","Baird's slickhead",2022,0
"ALC","Baird's slickhead",2023,0
"ALE","Alewife",1997,0
"ALE","Alewife",1998,0
"ALE","Alewife",1999,0
"ALE","Alewife",2000,0
"ALE","Alewife",2001,0
"ALE","Alewife",2002,0
"ALE","Alewife",2003,0
"ALE","Alewife",2004,0
"ALE","Alewife",2005,0
"ALE","Alewife",2006,0.6
"ALE","Alewife",2007,0.03
"ALE","Alewife",2008,0.03
"ALE","Alewife",2009,0
"ALE","Alewife",2010,0
"ALE","Alewife",2011,0
"ALE","Alewife",2012,0.06
"ALE","Alewife",2013,0.06
"ALE","Alewife",2014,4.11
"ALE","Alewife",2015,0
"ALE","Alewife",2016,0
"ALE","Alewife",2017,0
"ALE","Alewife",2018,0
"ALE","Alewife",2019,0
"ALE","Alewife",2020,0
"ALE","Alewife",2021,0
"ALE","Alewife",2022,0
"ALE","Alewife",2023,0
"ALV","Thresher",1997,39
"ALV","Thresher",1998,26
"ALV","Thresher",1999,13
"ALV","Thresher",2000,19
"ALV","Thresher",2001,27
"ALV","Thresher",2002,21
"ALV","Thresher",2003,17
"ALV","Thresher",2004,33
"ALV","Thresher",2005,80
"ALV","Thresher",2006,337.2
"ALV","Thresher",2007,279.15
"ALV","Thresher",2008,214.11
"ALV","Thresher",2009,228.07
"ALV","Thresher",2010,47
"ALV","Thresher",2011,0
"ALV","Thresher",2012,1.9
"ALV","Thresher",2013,3.84
"ALV","Thresher",2014,4.5
"ALV","Thresher",2015,2.76
"ALV","Thresher",2016,0
"ALV","Thresher",2017,0
"ALV","Thresher",2018,0
"ALV","Thresher",2019,0
"ALV","Thresher",2020,1.83
"ALV","Thresher",2021,0.48
"ALV","Thresher",2022,0.84
"ALV","Thresher",2023,1.2
"AMB","Greater amberjack",1997,7
"AMB","Greater amberjack",1998,10
"AMB","Greater amberjack",1999,10
"AMB","Greater amberjack",2000,21
"AMB","Greater amberjack",2001,19
