"species_code","species_name","year","total_landings","max_temp","min_temp","price"
"PIL","European pilchard(=Sardine)",1997,81475,-0.29,-0.35,NA
"PIL","European pilchard(=Sardine)",1998,82985,-0.23,-0.3,NA
"PIL","European pilchard(=Sardine)",1999,71955,-0.19,-0.26,NA
"PIL","European pilchard(=Sardine)",2000,66283,-0.17,-0.24,NA
"PIL","European pilchard(=Sardine)",2001,71907,-0.13,-0.19,NA
"PIL","European pilchard(=Sardine)",2002,68739,-0.09,-0.15,NA
"PIL","European pilchard(=Sardine)",2003,66605,-0.01,-0.07,NA
"PIL","European pilchard(=Sardine)",2004,75890,0.07,0.01,NA
"PIL","European pilchard(=Sardine)",2005,74361,0.1,0.04,NA
"PIL","European pilchard(=Sardine)",2006,222338.1,0.15,0.09,NA
"PIL","European pilchard(=Sardine)",2007,273534.04,0.17,0.12,NA
"PIL","European pilchard(=Sardine)",2008,213198,0.17,0.13,NA
"PIL","European pilchard(=Sardine)",2009,182822,0.16,0.13,NA
"PIL","European pilchard(=Sardine)",2010,191277,0.18,0.15,NA
"PIL","European pilchard(=Sardine)",2011,171865.19,0.16,0.14,1.67
"PIL","European pilchard(=Sardine)",2012,97005.48,0.17,0.16,1.81
"PIL","European pilchard(=Sardine)",2013,83202.54,0.16,0.13,1.7
"PIL","European pilchard(=Sardine)",2014,48379.1,0.15,0.11,2.02
"PIL","European pilchard(=Sardine)",2015,41795.27,0.11,0.06,1.81
"PIL","European pilchard(=Sardine)",2016,41199.65,0.09,0.04,2.1
"PIL","European pilchard(=Sardine)",2017,44933.82,0.09,0.03,2.23
"PIL","European pilchard(=Sardine)",2018,29791.43,0.07,0.01,2.2
"PIL","European pilchard(=Sardine)",2019,30718.76,0.09,0.02,2.08
"PIL","European pilchard(=Sardine)",2020,48203.97,0.08,0.01,2.3
"PIL","European pilchard(=Sardine)",2021,84084.75,0.11,0.04,2.28
"PIL","European pilchard(=Sardine)",2022,76569.12,0.13,0.07,2.65
"PIL","European pilchard(=Sardine)",2023,78774.52,0.19,0.14,2.47
